algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,578.6666666666666,578.6666666666666,,,23714,23714,7f4a8343,2,0.03,penalized,0,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,150.96666666666667,150.96666666666667,,,23714,23714,7f4a8343,2,0.006666666666666667,penalized,5,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,266.36333333333334,158.09333333333333,,,23714,23714,7f4a8343,2,0.006666666666666667,penalized,10,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,328.94,237.14,,,23714,23714,7f4a8343,2,0.01,penalized,15,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,348.77,158.09333333333333,,,23714,23714,7f4a8343,2,0.006666666666666667,penalized,20,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,313.1566666666667,158.09333333333333,,,23714,23714,7f4a8343,2,0.006666666666666667,penalized,25,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,367.45666666666665,237.14,,,23714,23714,7f4a8343,2,0.01,penalized,30,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,385.42333333333335,237.14,,,23714,23714,7f4a8343,2,0.01,penalized,35,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,304.2866666666667,158.09333333333333,,,23714,23714,7f4a8343,2,0.006666666666666667,penalized,40,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,362.82666666666665,158.09333333333333,,,23714,23714,7f4a8343,2,0.006666666666666667,penalized,45,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,173.83,158.09333333333333,,,23714,23714,7f4a8343,2,0.006666666666666667,penalized,50,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,403.9633333333333,158.09333333333333,,,23714,23714,7f4a8343,2,0.006666666666666667,penalized,55,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
ga,192.76,158.09333333333333,,,23714,23714,7f4a8343,2,0.006666666666666667,penalized,60,23714,23714,300,0.2,mixed,0.15,0.9,0.35,0.05,0.2,0.1,A,300,0.7,0.35,strict,A101_rtr0.35_pm0.35_prs0.20_init0.2_pc0.9,2,tournament,0.25,5
