algo,avg_eval,avg_report,base_cfg_id,base_rank,best_eval,best_report,cfg_id,elitism,feasible_rate,fitness_mode,gen,gen_best_eval,gen_best_report,generations,init_constructive_ratio,init_strategy,mutation_strength,p_crossover,p_mut_move,p_mut_presence,p_mut_resupport,p_mut_rot,phase,pop_size,prob_presence_init,ratio_to_remove,report_mode,run_id,seed,selection,threshold_keep_ratio,tournament_k
ga,688.0366666666666,524.9533333333334,,,24896,24896,c66e3c54,2,0.03,penalized,0,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,314.6933333333333,149.88333333333333,,,24896,24896,c66e3c54,2,0.006666666666666667,penalized,5,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,263.1766666666667,149.88333333333333,,,24896,24896,c66e3c54,2,0.006666666666666667,penalized,10,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,237.23333333333332,149.88333333333333,,,24896,24896,c66e3c54,2,0.006666666666666667,penalized,15,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,229.62333333333333,149.88333333333333,,,24896,24896,c66e3c54,2,0.006666666666666667,penalized,20,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,391.3,149.88333333333333,,,24896,24896,c66e3c54,2,0.006666666666666667,penalized,25,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,238.23666666666668,149.88333333333333,,,24896,24896,c66e3c54,2,0.006666666666666667,penalized,30,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,354.1666666666667,149.88333333333333,,,24896,24896,c66e3c54,2,0.006666666666666667,penalized,35,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,322.52,82.98666666666666,,,24896,24896,c66e3c54,2,0.0033333333333333335,penalized,40,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,226.07666666666665,82.98666666666666,,,24896,24896,c66e3c54,2,0.0033333333333333335,penalized,45,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,341.50666666666666,82.98666666666666,,,24896,24896,c66e3c54,2,0.0033333333333333335,penalized,50,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,272.12666666666667,82.98666666666666,,,24896,24896,c66e3c54,2,0.0033333333333333335,penalized,55,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
ga,369.47,82.98666666666666,,,24896,24896,c66e3c54,2,0.0033333333333333335,penalized,60,24896,24896,300,0.2,mixed,0.15,0.9,0.35,0.05,0.4,0.1,A,300,0.7,0.2,strict,A069_rtr0.20_pm0.35_prs0.40_init0.2_pc0.9,1,tournament,0.25,5
